Strain
A/turkey/Wisconsin/1/1966
A/green-winged teal/Wisconsin/228/1976
A/wild bird/Korea/8G39/2005
A/white-fronted goose/Korea/20-36/2007
A/greater white-fronted goose/Alaska/81081/2008
A/turkey/TX/4-1-81/1981
A/turkey/TX/10-49-89/1989
A/turkey/New York/11275/1999
A/goose/MN/5733-1/1980
A/mallard duck/ALB/321/1988
A/northern pintail/California/3100/2011
A/mallard/Maryland/13OS0755/2013
A/northern shoveler/Interior Alaska/10BM16764R0/2010
A/American black duck/Maine/ME-Y17-326/2017
A/chicken/Korea/S21/2004
A/chicken/Korea/GH2/2007
A/chicken/Korea/01310/2001
A/duck/Malaysia/2001
A/duck/Hong Kong/702/1979
A/duck/Hong Kong/784/1979
A/mallard/Sweden/67860/2007
A/mallard duck/Netherlands/1/2005
A/duck/Hokkaido/49/98
A/chicken/Korea/KNUWSJ09/2009
A/baikal teal/Xianghai/421/2011
A/wild bird/Anhui/S93/2014
A/wild bird/Anhui/L281/2014
A/wild bird/Anhui/L258/2014
A/turkey/Poland/08/2014
A/duck/Chiba/1/2007
A/duck/Jiangxi/7554/2007
A/wild waterfowl/Dongting/C2203/2011
A/duck/Hokkaido/K04/2014
A/gadwall duck/Netherlands/2/2006
A/Eurasian wigeon/Netherlands/4/2005
A/Bewick's swan/Netherlands/5/2007
A/mallard/Portugal/83660/2009
A/wild bird/Anhui/S66/2014
A/Anas platyrhynchos/Belgium/9313/2016
A/mallard/Sweden/4932/2004
A/chicken/Iran/ZMT-101/1998
A/quail/Lebanon/272/2010
A/pigeon/Egypt/S10408B/2014
A/chicken/Iraq/4/2016
A/chicken/Pakistan/37/2015
A/quail/Bangladesh/907/2009
A/chicken/Bangladesh/23527/2014
A/quail/Bangladesh/31244/2016
A/chicken/Bangladesh/35368/2018
A/chicken/Bangladesh/40819/2019
A/duck/Bangladesh/33127/2017
A/chicken/India/80998/2008
A/chicken/India/01CL1619/2012
A/chicken/Pakistan/UDL-02/2008
A/chicken/Sihala/NARC-12103/2008
A/chicken/Brong-Ahafo/18VIR1513-5/2017
A/chicken/Emirates/R66/2002
A/avian/Saudi Arabia/910134/2006
A/turkey/Israel/1013/2002
A/chicken/Jordan/70/2004
A/chicken/Israel/1293/2010
A/chicken/Israel/182/2008
A/chicken/Egypt/S7404/2013
A/parakeet/Narita/92A/98
A/quail/Zhejiang/2A4/2013
A/Chinese francolin/Guangxi/B7/2010
A/chicken/Hong Kong/NT10/2011
A/chicken/Shanghai/2/2004
A/chicken/Osaka/aq69/2001
A/chicken/Kobe/aq26/2001
A/chicken/Yokohama/aq55/2001
A/chicken/Henan/12/2008
A/chicken/Shanghai/4/2006
A/Japanese Quail/Vietnam/7/2009
A/chicken/Hong Kong/YU341/2008
A/chicken/Osaka/aq58/2001
A/chicken/Yokohama/aq45/2002
A/chicken/Yokohama/aq120/2001
A/chicken/Gansu/2/99
A/duck/Jiangsu/1/2008
A/chicken/Shanghai/10/01
A/sparrow/Shanghai/09/2013
A/chicken/Guangxi/DX/2008
A/chicken/Guangxi/55/2005
A/chicken/Shandong/1/2008
A/Muscovy duck/Fujian/CL/1997
A/chicken/Henan/26/00
A/chicken/Hebei/L1/2006
A/chicken/China/Guangxi1/2000
A/Chicken/Shenzhen/9/97
A/chicken/Guangxi/10/99
A/chicken/Heilongjiang/35/00
A/black-billed magpie/Guangxi/31/2005
A/chicken/Viet Nam/LS-1754/2013
A/chicken/HoChiMinh/0181/2013
A/chicken/HoChiMinh/0190/2014
A/chicken/Cambodia/Z248W19M1/2015
A/chicken/Yunnan/C1212/2010
A/chicken/Shaanxi/11/2012
A/chicken/Shandong/zc2/2009
A/chicken/Hubei/C4071/2010
A/chicken/Shandong/07/2009
A/chicken/Hebei/Y2/2009
A/chicken/Jiangsu/03/2007
A/chicken/Hainan/SIC33/2014
A/chicken/Viet Nam/QN-0576/2013
A/chicken/Zhejiang/611/2011
A/duck/Indonesia/04161291-OP/2016
A/chicken/Viet Nam/TN-2882/2016
A/chicken/Vietnam/HU9-60/2018
A/chicken/Vietnam/HU4-2/2015
A/chicken/Vietnam/HU9-843/2018
A/duck/Viet Nam/QN-0548/2013
A/chicken/Hong Kong/YU250W/2011
A/chicken/Guangdong/C1122/2011
A/chicken/Guizhou/C1011/2009
A/duck/Shanghai/C60/2007
A/chicken/Fujian/01/2009
A/chicken/Shanghai/5/2003
A/chicken/Jiangsu/01/2007
A/African Stonechat/Vietnam/8/2009
A/chicken/Jiangsu/B20/2011
A/chicken/Shandong/0613/2012
A/brambling/Beijing/16/2012
A/pigeon/Anhui/DGG4/2015
A/chicken/Ganzhou/GZ140/2016
A/chicken/Zhejiang/C11/2013
A/chicken/China/CK76/2017
A/chicken/Guangdong/LG1/2013
A/chicken/Vietnam/HU7-15/2017
A/chicken/Shandong/3442/2017
A/chicken/Vietnam/HU9-567/2018
A/chicken/China/237/2017
A/chicken/China/1103/2019
A/chicken/Shandong/02/2010
A/chicken/Beijing/11/2013
A/chicken/Shandong/yt0711/2013
A/quail/Guangxi/198Q39/2015
A/duck/Wuhan/WHYF14/2014
A/chicken/Jiangsu/TM224/2016
A/Athene noctua/Tianjin/Y14/2017
A/chicken/Shanghai/07/2018
A/quail/Zhejiang/2A1-2/2013
